Probe Name,Annotation,h3k4me3,20191001_cd1_J11_11.RCC,20191001_cd1_J01_01.RCC,20191001_cd1_J03_03.RCC,20191001_cd1_J06_06.RCC,20191001_cd1_J07_07.RCC,20191001_cd2_J14_02.RCC,20191001_cd2_M02_04.RCC,20191001_cd2_M08_10.RCC,20191001_cd2_M09_11.RCC,20191002_cd3_M20_10.RCC,20191002_cd3_M21_11.RCC,20191003_cd4_M32_10.RCC,20191001_cd1_J10_10.RCC,20191001_cd1_J12_12.RCC,20191001_cd1_J02_02.RCC,20191001_cd1_J04_04.RCC,20191001_cd1_J05_05.RCC,20191001_cd1_J08_08.RCC,20191001_cd1_J09_09.RCC,20191001_cd2_J13_01.RCC,20191001_cd2_M10_12.RCC,20191001_cd2_M01_03.RCC,20191001_cd2_M03_05.RCC,20191001_cd2_M04_06.RCC,20191001_cd2_M05_07.RCC,20191001_cd2_M06_08.RCC,20191001_cd2_M07_09.RCC,20191002_cd3_M11_01.RCC,20191002_cd3_M12_02.RCC,20191002_cd3_M13_03.RCC,20191002_cd3_M14_04.RCC,20191002_cd3_M15_05.RCC,20191002_cd3_M16_06.RCC,20191002_cd3_M17_07.RCC,20191002_cd3_M18_08.RCC,20191002_cd3_M19_09.RCC,20191002_cd3_M22_12.RCC,20191003_cd4_M23_01.RCC,20191003_cd4_M24_02.RCC,20191003_cd4_M25_03.RCC,20191003_cd4_M26_04.RCC,20191003_cd4_M27_05.RCC,20191003_cd4_M28_06.RCC,20191003_cd4_M29_07.RCC,20191003_cd4_M30_08.RCC,20191003_cd4_M31_09.RCC,20191003_cd4_M33_11.RCC,20191003_cd4_M34_12.RCC
ZBTB7C_A,Aditi,loss,47.01,1045.62,451.59,60.45,857.24,117.99,60.25,184.86,166.2,225.18,82.82,81.9,39.34,71.21,30.37,16.36,124.8,168.18,111.47,73.85,78.75,59.33,82.86,95.5,239.04,122.72,106.04,85.82,79.2,27.2,26.53,63.06,31.38,36.01,19.22,150.54,36.09,134.72,284.95,48.49,49.36,42.09,56.54,302.89,18.32,129.29,92.39,101.67
MSH2,Amrita,,94.02,2091.24,225.8,181.35,857.24,117.99,60.25,82.16,166.2,20.47,41.41,177.45,29.51,38.06,5.06,49.07,6.57,16.45,7.43,11.66,12.37,63.39,9.38,9.32,18.05,2.5,1,9.96,3.77,1.81,8.16,25.22,43.93,64.82,59.13,103.57,1.72,2.6,1.67,89.19,50.26,46.45,80.03,8.12,69.74,1.96,2.12,124.16
NEG_A,Control,,188.05,1045.62,451.59,181.35,857.24,353.98,421.78,123.24,1329.61,348.01,82.82,81.9,4.92,29.47,55.67,49.07,43.35,34.73,55.73,21.38,17.62,25.19,40.65,74.53,35.48,31.72,34.89,18.01,33.31,54.39,132.67,56.75,11.85,43.21,31.04,7.92,24.06,16.65,23.33,5.66,45.77,34.83,6.61,11.61,14.78,15.67,16.22,11.7
NEG_B,Control,,141.04,3136.86,1128.98,362.71,1714.48,117.99,60.25,225.94,166.2,204.71,110.43,109.2,34.42,31.92,55.67,49.07,26.27,14.62,33.44,36.92,16.87,33.32,6.25,156.06,88.4,28.38,23.41,21.84,50.28,31.73,42.86,44.14,13.6,33.61,26.61,9.05,32.66,21.85,36.66,12.39,16.15,31.93,11.38,16.25,15.96,29.87,28.21,19.79
NEG_C,Control,,94.02,3136.86,225.8,60.45,857.24,471.98,723.06,123.24,332.4,81.88,110.43,68.25,24.59,24.56,15.18,32.71,14.45,12.8,14.86,1.94,9.37,28.44,29.71,79.19,49.8,18.37,11.02,11.88,29.54,30.82,53.07,12.61,11.16,9.6,19.22,7.92,12.03,11.44,28.33,12.03,33.21,11.61,6.61,16.25,8.87,16.16,7.52,15.29
NEG_D,Control,,188.05,3136.86,677.39,181.35,2571.71,1061.94,602.55,575.12,166.2,491.31,248.46,177.45,245.88,201.36,212.57,114.49,179.98,272.38,215.5,322.61,554.22,434.78,311.13,584.63,473.73,383.18,308.47,576.98,710.9,308.22,249.01,283.76,351.75,122.43,436.07,341.26,290.47,392.73,511.57,333.77,131.93,140.79,666.34,430.55,137.11,277.19,224.74,197.03
NEG_E,Control,,94.02,1045.62,225.8,120.9,2571.71,235.99,120.51,82.16,166.2,266.12,165.64,95.55,24.59,22.1,30.37,32.71,11.82,5.48,3.72,11.66,16.12,33.32,14.07,53.57,130.73,84.32,16.53,22.6,40.86,9.07,14.29,12.61,8.02,33.61,16.26,21.51,12.03,92.07,44.99,37.52,62.82,27.58,21.29,124.17,42.55,38.2,97.56,23.39
NEG_F,Control,,376.1,2091.24,677.39,1027.67,857.24,5663.7,1506.37,2485.35,2825.42,859.79,1049.07,450.45,614.71,454.3,1558.82,1038.6,426.96,864.66,1148.1,478.08,420.35,675.33,1260.17,2217.39,1048.93,807.27,487.95,787.32,1761.23,847.62,520.48,794.53,348.26,384.11,891.35,130.16,1383.58,369.32,1409.73,282.8,325.79,394.78,183.57,346.99,320.33,403.05,516.25,560.51
NEG_G,Control,,329.09,1045.62,225.8,302.25,857.24,235.99,60.25,184.86,166.2,286.6,207.05,122.85,93.44,119.1,222.69,147.2,172.1,232.16,133.76,122.43,151.49,195.04,120.39,267.86,283.86,219.56,192.79,207.27,279.71,134.17,100.01,227.01,138.4,177.65,319.29,141.48,154.69,122.24,328.27,154.67,114.88,150.95,203.76,193.81,141.84,128.31,186.42,152.95
NEG_H,Control,,188.05,1045.62,677.39,241.8,857.24,117.99,60.25,61.62,166.2,532.25,262.27,109.2,19.67,9.82,30.37,16.36,6.57,27.42,7.43,19.43,39.75,36.57,23.45,37.27,60.38,44.25,27.54,30.27,35.83,18.13,4.08,25.22,35.56,14.4,34,37.35,18.91,19.77,48.32,33.27,12.56,34.83,21.29,4.64,8.87,14.69,15.52,16.19
POS_A,Control,,188.05,1045.62,225.8,362.71,857.24,471.98,723.06,164.32,166.2,368.48,234.66,150.15,108.19,67.53,96.16,163.56,128.74,113.34,148.62,79.68,187.11,163.35,161.04,139.75,130.73,132.74,124.4,165.13,188.57,242.95,275.55,145.03,138.4,148.84,335.55,117.15,132.34,127.44,124.98,87.42,171.42,123.37,137.67,163.63,92.2,103.33,88.86,85.47
POS_B,Control,,1034.27,1045.62,2257.95,1571.72,1714.48,589.97,723.06,102.7,1662.01,1084.97,690.18,245.7,245.88,62.62,192.32,719.66,65.69,135.27,278.67,42.75,23.25,36.57,37.52,32.61,23.66,25.04,41.31,21.84,31.43,96.09,202.07,56.75,18.48,81.62,164.08,11.32,46.41,31.21,33.33,20.53,84.36,66.76,24.96,12.77,23.05,14.2,24.68,18.89
POS_C,Control,,329.09,2091.24,1128.98,241.8,857.24,117.99,482.04,328.64,498.6,552.72,276.07,245.7,132.78,243.11,222.69,73.6,136.63,155.38,163.48,147.7,201.36,183.66,132.9,274.84,272.66,252.95,226.76,253.63,289.77,167.71,146.96,176.56,111.21,86.42,229.12,155.63,190.78,256.96,239.95,229.71,105.9,104.5,450.1,97.48,122.93,122.43,158.21,136.75
POS_D,Control,,47.01,1045.62,451.59,60.45,857.24,117.99,542.29,20.54,166.2,184.24,55.21,13.65,29.51,4.91,5.06,16.36,5.25,3.66,14.86,25.26,12.37,47.14,1.56,20.96,9.96,4.17,11.02,40.23,22,16.32,48.99,31.53,16.04,2.4,31.04,3.4,5.16,4.16,15,2.12,11.67,11.61,2.57,11.61,4.14,8.33,15.75,1
POS_E,Control,,987.26,6273.72,4967.49,3747.96,2571.71,2359.88,3615.29,554.58,4986.03,1555.8,2470.84,1911.01,565.53,271.35,754.1,1112.2,576.72,634.33,735.68,258.47,262.48,280.37,273.61,666.15,367.28,343.11,425.98,359.75,583.31,601.94,1326.71,359.43,271.22,734.6,1089.43,184.49,792.34,548.26,711.53,294.84,1208.03,538.47,351.71,214.69,670.79,261.03,321.36,366.18
POS_F,Control,,47.01,2091.24,225.8,60.45,857.24,353.98,60.25,82.16,166.2,20.47,13.8,13.65,9.84,6.14,5.06,8.18,6.57,9.14,7.43,7.77,4.87,3.25,1.56,6.99,2.49,4.17,2.75,3.06,3.14,1.81,6.12,6.31,3.14,7.2,1.48,2.83,1.72,4.16,1.67,1.77,1.79,4.35,3.3,9.28,2.96,2.94,1.65,1
ABL1_prmtr.10344,Deniz,gain,94.02,1045.62,677.39,120.9,857.24,117.99,120.51,41.08,166.2,143.3,41.41,40.95,44.26,27.01,45.55,16.36,47.29,18.28,74.31,19.43,24.37,10.56,6.25,23.29,35.48,24.21,7.8,23.75,16.97,28.1,28.58,18.92,13.94,9.6,4.43,22.07,13.75,14.56,20,9.56,11.67,24.67,9.55,46.42,8.27,11.75,31.27,14.4
ABL1_prmtr.10345,Deniz,gain,47.01,1045.62,1128.98,1148.57,857.24,235.99,60.25,61.62,166.2,532.25,165.64,109.2,59.01,12.28,35.43,196.27,1.31,40.22,111.47,13.6,5.25,14.63,7.82,6.99,19.3,7.51,4.59,5.75,10.06,37.17,14.29,31.53,6.62,4.8,13.3,6.23,18.91,14.56,11.66,1.42,17.95,21.77,3.67,3.48,2.36,1.96,1.41,2.7
ACOX3_prmtr.8675,Deniz,gain,47.01,1045.62,225.8,60.45,857.24,117.99,60.25,20.54,166.2,40.94,331.29,13.65,4.92,3.68,15.18,8.18,1.31,1.83,22.29,1.94,1.12,1,1.56,2.33,1.25,1.67,3.21,1.53,3.14,3.63,12.25,6.31,1.39,2.4,5.91,1,1.72,40.05,1.67,1.06,1,2.9,1.1,1.16,1.77,50.44,1,1
